"2017/01/04","19594.16","19298.68","19594.16","19277.93"
"2017/01/05","19520.69","19602.10","19615.40","19473.28"
"2017/01/06","19454.33","19393.55","19472.37","19354.44"
"2017/01/10","19301.44","19414.83","19484.90","19255.35"
"2017/02/04","19594.16","19298.68","19594.16","19277.93"
"2017/02/05","19520.69","19602.10","19615.40","19473.28"
"2017/02/06","19454.33","19393.55","19472.37","19354.44"
"2017/02/10","19301.44","19414.83","19484.90","19255.35"
"2017/03/04","19594.16","19298.68","19594.16","19277.93"
"2017/03/05","19520.69","19602.10","19615.40","19473.28"
"2017/03/06","19454.33","19393.55","19472.37","19354.44"
"2017/03/10","19301.44","19414.83","19484.90","19255.35"
"2017/04/04","19594.16","19298.68","19594.16","19277.93"
"2017/04/05","19520.69","19602.10","19615.40","19473.28"
"2017/04/06","19454.33","19393.55","19472.37","19354.44"
"2017/04/10","19301.44","19414.83","19484.90","19255.35"
"2017/05/04","19594.16","19298.68","19594.16","19277.93"
"2017/05/05","19520.69","19602.10","19615.40","19473.28"
"2017/05/06","19454.33","19393.55","19472.37","19354.44"
"2017/05/10","19301.44","19414.83","19484.90","19255.35"
"2017/06/04","19594.16","19298.68","19594.16","19277.93"
"2017/06/05","19520.69","19602.10","19615.40","19473.28"
"2017/06/06","19454.33","19393.55","19472.37","19354.44"
"2017/06/10","19301.44","19414.83","19484.90","19255.35"
